,poll_index,Sample Name,Gender,sample_index,speaker_id,Attack
0,0,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,9,0,AudioShield
1,1,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,16,4,AudioShield
2,2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,0,5,AudioShield
3,3,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,19,4,Kenansvile
4,4,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,8,0,AudioShield
5,5,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,1,5,AudioShield
6,6,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,12,2,Advddos
7,7,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,13,2,Kenansvile
8,8,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,4,5,Advddos
9,9,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,4,5,AudioShield
10,10,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,11,2,Kenansvile
11,11,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,3,5,AudioShield
12,12,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,2,5,AudioShield
13,13,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,10,2,Control
14,14,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,8,0,Kenku
15,15,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,14,2,AudioShield
16,16,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,6,0,AudioShield
17,17,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,14,2,Kenansvile
18,18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,18,4,AudioShield
19,19,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,9,0,Kenku
20,20,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,11,2,AudioShield
21,21,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,19,4,AudioShield
22,22,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,15,4,AudioShield
23,23,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,16,4,Control
24,24,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,6,0,OurMethod
25,25,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,10,2,AudioShield
26,26,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,2,5,Control
27,27,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,17,4,Advddos
28,28,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,13,2,AudioShield
29,29,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,1,5,Kenku
30,30,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,15,4,OurMethod
31,31,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,3,5,Kenku
32,32,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,12,2,AudioShield
33,33,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,0,5,OurMethod
34,34,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,7,0,AudioShield
35,35,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,18,4,OurMethod
36,36,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,17,4,AudioShield
37,37,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,5,0,AudioShield
38,38,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,7,0,Control
39,39,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,5,0,Advddos
