original_index,Sample Name,Attack,Gender,poll_index
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Kenansvile,Female,37
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Kenansvile,Female,74
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Kenansvile,Female,56
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Kenansvile,Female,67
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Kenansvile,Female,1
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Kenansvile,Female,29
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Kenansvile,Female,91
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Kenansvile,Female,72
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Kenansvile,Female,12
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Kenansvile,Female,83
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Kenansvile,Male,10
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Kenansvile,Male,30
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Kenansvile,Male,32
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Kenansvile,Male,97
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Kenansvile,Male,27
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Kenansvile,Male,46
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Kenansvile,Male,48
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Kenansvile,Male,33
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Kenansvile,Male,3
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Kenansvile,Male,24
20,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_63.wav,Kenku,Female,16
21,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_97.wav,Kenku,Female,75
22,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_71.wav,Kenku,Female,87
23,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_99.wav,Kenku,Female,58
24,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_77.wav,Kenku,Female,51
