,Sample Name,Gender,Attack,sample_index,poll_index
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,OurMethod,18,0
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,OurMethod,15,1
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,Kenansvile,10,2
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,Kenansvile,18,3
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,Control,13,4
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,Kenku,8,5
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,Kenansvile,13,6
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,OurMethod,11,7
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,Control,11,8
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,Control,4,9
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,Advddos,17,10
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,Kenku,14,11
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,Control,3,12
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,Control,18,13
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,OurMethod,12,14
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,Kenku,12,15
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,Control,12,16
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,Control,19,17
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,Kenansvile,4,18
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,Kenku,1,19
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,Kenansvile,19,20
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,OurMethod,3,21
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,Kenansvile,1,22
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,Kenku,2,23
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,Control,14,24
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,Control,2,25
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,Control,8,26
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,Kenku,11,27
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,Advddos,14,28
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,Advddos,11,29
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,Control,5,30
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,Advddos,0,31
18,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_103.wav,Male,Kenku,18,32
12,data/datasets/tedlium/DanBarber_DanBarber_2010_107.wav,Male,Kenansvile,12,33
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,Kenku,16,34
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,OurMethod,13,35
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,OurMethod,6,36
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,Advddos,5,37
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,Control,0,38
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,Kenansvile,7,39
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,Advddos,6,40
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,Advddos,8,41
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,Control,15,42
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,Advddos,16,43
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,Control,6,44
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,Kenku,17,45
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,Kenku,9,46
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,Kenku,5,47
19,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_8.wav,Male,Kenku,19,48
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,OurMethod,4,49
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,Kenku,0,50
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,Control,17,51
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,Advddos,7,52
5,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_26.wav,Female,Kenansvile,5,53
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,OurMethod,16,54
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,OurMethod,7,55
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,Kenku,6,56
17,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_49.wav,Male,Kenansvile,17,57
0,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_35.wav,Female,Kenansvile,0,58
15,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_18.wav,Male,Advddos,15,59
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,Control,9,60
8,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_118.wav,Female,OurMethod,8,61
9,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_91.wav,Female,Advddos,9,62
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,OurMethod,1,63
13,data/datasets/tedlium/DanBarber_DanBarber_2010_10.wav,Male,Kenku,13,64
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,Kenku,10,65
14,data/datasets/tedlium/DanBarber_DanBarber_2010_8.wav,Male,Kenansvile,14,66
2,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_66.wav,Female,Kenansvile,2,67
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,Control,16,68
4,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_57.wav,Female,Advddos,4,69
7,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_22.wav,Female,Kenku,7,70
11,data/datasets/tedlium/DanBarber_DanBarber_2010_150.wav,Male,Kenansvile,11,71
1,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_3.wav,Female,Advddos,1,72
3,data/datasets/tedlium/JaneMcGonigal_JaneMcGonigal_2010_61.wav,Female,Kenansvile,3,73
16,data/datasets/tedlium/MichaelSpecter_MichaelSpecter_2010_46.wav,Male,Kenansvile,16,74
6,data/datasets/tedlium/AimeeMullins_AimeeMullins_2009P_124.wav,Female,Kenansvile,6,75
10,data/datasets/tedlium/DanBarber_DanBarber_2010_24.wav,Male,Control,10,76
